Code_Postal;Province
1000;Bruxelles-Capitale
1001;Bruxelles-Capitale
1002;Bruxelles-Capitale
1003;Bruxelles-Capitale
1004;Bruxelles-Capitale
1005;Bruxelles-Capitale
1006;Bruxelles-Capitale
1007;Bruxelles-Capitale
1008;Bruxelles-Capitale
1009;Bruxelles-Capitale
1010;Bruxelles-Capitale
1011;Bruxelles-Capitale
1012;Bruxelles-Capitale
1013;Bruxelles-Capitale
1014;Bruxelles-Capitale
1015;Bruxelles-Capitale
1016;Bruxelles-Capitale
1017;Bruxelles-Capitale
1018;Bruxelles-Capitale
1019;Bruxelles-Capitale
1020;Bruxelles-Capitale
1021;Bruxelles-Capitale
1022;Bruxelles-Capitale
1023;Bruxelles-Capitale
1024;Bruxelles-Capitale
1025;Bruxelles-Capitale
1026;Bruxelles-Capitale
1027;Bruxelles-Capitale
1028;Bruxelles-Capitale
1029;Bruxelles-Capitale
1030;Bruxelles-Capitale
1031;Bruxelles-Capitale
1032;Bruxelles-Capitale
1033;Bruxelles-Capitale
1034;Bruxelles-Capitale
1035;Bruxelles-Capitale
1036;Bruxelles-Capitale
1037;Bruxelles-Capitale
1038;Bruxelles-Capitale
1039;Bruxelles-Capitale
1040;Bruxelles-Capitale
1041;Bruxelles-Capitale
1042;Bruxelles-Capitale
1043;Bruxelles-Capitale
1044;Bruxelles-Capitale
1045;Bruxelles-Capitale
1046;Bruxelles-Capitale
1047;Bruxelles-Capitale
1048;Bruxelles-Capitale
1049;Bruxelles-Capitale
1050;Bruxelles-Capitale
1051;Bruxelles-Capitale
1052;Bruxelles-Capitale
1053;Bruxelles-Capitale
1054;Bruxelles-Capitale
1055;Bruxelles-Capitale
1056;Bruxelles-Capitale
1057;Bruxelles-Capitale
1058;Bruxelles-Capitale
1059;Bruxelles-Capitale
1060;Bruxelles-Capitale
1061;Bruxelles-Capitale
1062;Bruxelles-Capitale
1063;Bruxelles-Capitale
1064;Bruxelles-Capitale
1065;Bruxelles-Capitale
1066;Bruxelles-Capitale
1067;Bruxelles-Capitale
1068;Bruxelles-Capitale
1069;Bruxelles-Capitale
1070;Bruxelles-Capitale
1071;Bruxelles-Capitale
1072;Bruxelles-Capitale
1073;Bruxelles-Capitale
1074;Bruxelles-Capitale
1075;Bruxelles-Capitale
1076;Bruxelles-Capitale
1077;Bruxelles-Capitale
1078;Bruxelles-Capitale
1079;Bruxelles-Capitale
1080;Bruxelles-Capitale
1081;Bruxelles-Capitale
1082;Bruxelles-Capitale
1083;Bruxelles-Capitale
1084;Bruxelles-Capitale
1085;Bruxelles-Capitale
1086;Bruxelles-Capitale
1087;Bruxelles-Capitale
1088;Bruxelles-Capitale
1089;Bruxelles-Capitale
1090;Bruxelles-Capitale
1091;Bruxelles-Capitale
1092;Bruxelles-Capitale
1093;Bruxelles-Capitale
1094;Bruxelles-Capitale
1095;Bruxelles-Capitale
1096;Bruxelles-Capitale
1097;Bruxelles-Capitale
1098;Bruxelles-Capitale
1099;Bruxelles-Capitale
1100;Bruxelles-Capitale
1101;Bruxelles-Capitale
1102;Bruxelles-Capitale
1103;Bruxelles-Capitale
1104;Bruxelles-Capitale
1105;Bruxelles-Capitale
1106;Bruxelles-Capitale
1107;Bruxelles-Capitale
1108;Bruxelles-Capitale
1109;Bruxelles-Capitale
1110;Bruxelles-Capitale
1111;Bruxelles-Capitale
1112;Bruxelles-Capitale
1113;Bruxelles-Capitale
1114;Bruxelles-Capitale
1115;Bruxelles-Capitale
1116;Bruxelles-Capitale
1117;Bruxelles-Capitale
1118;Bruxelles-Capitale
1119;Bruxelles-Capitale
1120;Bruxelles-Capitale
1121;Bruxelles-Capitale
1122;Bruxelles-Capitale
1123;Bruxelles-Capitale
1124;Bruxelles-Capitale
1125;Bruxelles-Capitale
1126;Bruxelles-Capitale
1127;Bruxelles-Capitale
1128;Bruxelles-Capitale
1129;Bruxelles-Capitale
